Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Vietnam,86.49,26.98,53.48,58.03,38.12,21.9,29.85,86.05,71.24
2,Uruguay,124.8,33.77,46.98,67.36,46.66,17.76,37.74,45.8,98.04
3,United States,169.78,108.29,52.3,69.2,72.47,3.72,33.02,38.17,76.69
4,United Kingdom,161.2,86.98,55.46,74.88,65.67,9.63,34.51,40.62,87.77
5,United Arab Emirates,155.41,86.06,84.55,67.92,62.98,5.14,36.63,50.66,45.23
6,Ukraine,105.26,30.9,51.16,52.69,30.05,11.88,38.32,65.14,71.14
7,Turkey,126.4,38.04,60.5,70.36,32.44,8.48,44.86,66.22,93.26
8,Thailand,101.64,33.02,59.99,78.04,48.97,21.59,38.54,75.26,69.45
9,Taiwan,140.47,61.36,84.74,86.42,61.95,24.2,31.51,63.08,81.6
10,Switzerland,190.92,114.83,78.42,73.1,125.69,8.52,28.93,21.89,80.05
11,Sweden,172.18,94.04,52.57,69.15,72.31,8.98,30.29,19.05,73.97
12,Sri Lanka,80.36,21.42,59.77,72.44,32.93,34.98,56.95,60.03,59.11
13,Spain,167.05,67.73,67.67,78.69,55.27,9.55,29.38,40.37,93.98
14,South Korea,136.27,81.67,72.67,82.26,75.93,19.41,39.86,62.25,68.39
15,South Africa,132.39,73.52,22.71,64.16,37.52,4.24,39.42,57.12,95.25
16,Slovenia,169.81,60.61,79.05,65.16,55.17,11.1,27.16,23.53,77.56
17,Slovakia,149.93,53.39,70.19,60.23,46.8,11.03,28.57,39.99,78.13
18,Singapore,142.25,82.61,68.47,70.97,81.13,21.67,41.18,33.3,57.45
19,Serbia,116.08,36.04,62.27,51.74,36.98,17.9,31.02,61.21,83.23
20,Saudi Arabia,148.94,93.84,73.32,60.42,49.15,2.72,28.45,64.34,45.98
21,Russia,101.57,35.96,59.4,58.01,33.66,11.3,45,62.58,39.51
22,Romania,131.69,46.7,72.18,55.46,36.23,10.96,34.75,58.79,77.69
23,Qatar,156.9,99.82,88.1,73.03,67.54,6.03,30.49,60.41,36.03
24,Puerto Rico,130.96,71.16,35.25,55.57,70.02,3.66,34.16,50.06,71.25
25,Portugal,162.46,47.1,70.17,71.88,49.52,12.52,30.13,30.38,97.72
26,Poland,125.2,52.3,66.87,51.96,39.46,13.2,32.16,63.09,76.03
27,Philippines,79.18,21.38,57.78,67.52,39.25,29.92,44.6,74.24,61.11
28,Peru,85.28,30.66,34.35,56.45,37.64,15.57,48.81,83.34,97.69
29,Panama,112.01,33.79,53.8,60.43,55.02,11.79,37.11,59.03,67.84
30,Pakistan,105.09,28.39,55.82,60.69,21,12.46,37.77,73.48,71.93
31,Oman,173.08,87.3,79.38,58.83,49.42,6.11,22.82,37.51,67.22
32,Norway,174.55,83.4,65.38,74.51,96.8,8.68,26.62,20.14,71.37
33,North Macedonia,108.99,33.3,61.39,56.22,32.96,12.36,27.61,80.23,76.3
34,Nigeria,54.91,11.1,36.73,50.05,29.76,16.19,62.14,86.89,60.75
35,New Zealand,178.22,87.22,57.81,73.82,71.83,8.66,30.81,23.52,95.46
36,Netherlands,184.18,86.76,72.85,75.68,74.63,7.45,28.15,26.11,87.53
37,Morocco,104.94,33.44,51.03,46.32,34.44,13.6,36.04,70.1,87.96
38,Mexico,120.65,38.17,46.69,72.11,30.93,10.69,39.2,63.29,86.29
39,Malaysia,117.42,59.12,41.45,68.87,38.09,10,37.11,62.81,59.21
40,Lithuania,159.77,55.57,66.12,70.51,44.85,11.09,25.65,27.91,69.86
41,Lebanon,99.64,35.28,55.93,63.65,64.26,14.47,38.59,88.91,94.74
42,Latvia,148.68,49.49,62.57,62.14,49.18,8.75,31.56,34.07,74.7
43,Kuwait,115.14,79.31,65.43,58.14,49.86,13.08,33.98,66.37,20.22
44,Kenya,66.6,28.98,38.27,55.58,37.75,36.33,56.96,76.56,99.79
45,Kazakhstan,98.15,38.26,45.19,60.94,31.01,9.36,33.72,72.1,39.78
46,Jordan,114.06,34.7,59.17,65.46,53.4,7.88,41.69,76.81,89.05
47,Japan,163.23,78.88,78.33,80.23,86.22,13.28,39.41,39.34,84.79
48,Italy,138.97,61.8,55.76,66.95,68.95,9.81,34.3,55.65,91.64
49,Israel,146.89,73.94,69.56,73.4,82.52,13.47,36.08,57.48,93.78
50,Ireland,150.16,74.58,54.32,52.27,78.07,7.75,38.07,34.29,89.13
51,Iran,70.32,21.88,51.09,52.23,38.47,29.83,47.44,76.69,70.99
52,Indonesia,91.63,22.19,53.94,60.51,36.86,21.27,43.37,66.9,68.48
53,India,105.86,50.55,55.58,66.21,24.12,11.34,46.83,79.56,64.74
54,Iceland,180.74,74.78,76.3,65.61,90.19,6.63,20.1,16.2,68.81
55,Hungary,128.4,46.3,64.77,48.05,40.09,13.82,35.91,48.66,79.48
56,Hong Kong,103.19,67.02,79.09,66.35,77.9,43.52,42.41,67.6,83.64
57,Greece,131.51,40.75,58.7,56.64,57.5,10.7,33.71,52.33,94.18
58,Germany,177.25,97.41,64.86,73.35,66.34,9.35,31.4,29.28,83.15
59,Georgia,116.37,24.77,79.5,52.16,29.71,14.48,35.4,70.6,84.2
60,France,150.68,76.21,52.63,80.68,76.34,14.07,35.04,43.64,89.78
61,Finland,186.4,93.94,74.47,75.96,72.71,8.69,29.41,11.79,59.21
62,Estonia,175.99,66.08,76.44,72.52,52.93,8.83,24.59,19.02,64.28
63,Egypt,86.78,21.09,53.35,46.29,29.55,13.42,49.34,84.69,91.98
64,Ecuador,123.09,32.7,47.34,69.51,40.62,12.44,37.11,56.86,94.51
65,Denmark,192.53,101.27,73.91,80.17,85.02,6.96,28.93,21.52,81.8
66,Czech Republic,154.7,59.28,74.6,75.18,45.05,16.43,29.71,39.46,77.13
67,Cyprus,146.86,56.8,68.43,52.53,59.93,7.48,23.6,55.11,92.8
68,Croatia,156.77,43.25,75.33,63.75,56.31,13.91,28.14,30.07,89.89
69,Colombia,101.7,27.92,45.06,66.8,29.02,19.29,47.16,62.44,86.04
70,China,104.96,60.44,68.82,66.62,39.51,28.4,41.44,79.88,78.17
71,Chile,102.02,35.55,50.4,64.38,45.43,17.94,35.16,79.74,90.21
72,Canada,158.88,83.22,59.36,71.77,66.18,8.18,33.84,27.97,52.69
73,Bulgaria,127.14,44.11,61.45,56.2,38.39,9.11,29.45,65.43,82.76
74,Brazil,105.28,30.36,31.69,56.87,30.99,16.47,41.63,54.67,94.1
75,Bosnia And Herzegovina,123.05,41.58,56.43,53.22,36.57,12.15,25.92,61.72,80.48
76,Belgium,149.75,80.12,54.71,74.8,73.59,6.91,36.43,53.66,86.03
77,Belarus,133.52,33.7,74.98,60.03,32.63,15.49,30.21,43.58,64.37
78,Bangladesh,66.29,27.59,36.18,43.08,33.41,14.3,59.01,85.83,72.91
79,Azerbaijan,102.69,27.19,67.88,44.59,31.14,16.45,39.99,76.3,91.4
80,Austria,181.68,79.38,75.57,78.56,71.78,10.85,25.79,21.65,78.22
81,Australia,185.03,103.38,58.33,77.81,75.89,7.44,35,23.22,94.2
82,Argentina,114.21,43.38,37.74,69.16,31.18,24.09,42.99,50.61,98.28
